3,1,100,0.000112
3,3,100,0.000193
3,5,100,0.000272
3,10,85,0.000491
3,15,61,0.000732
3,20,36,0.000950
3,30,10,0.001403
3,40,1,0.001896
3,50,0,0.002360
3,100,0,0.004637

5,1,100,0.000180
5,3,99,0.000321
5,5,98,0.0005
5,7,81,0.000672
5,10,26,0.001
5,15,4,0.001464
5,20,0,0.001922
5,50,0,0.004830
5,100,0,0.009598

10,1,100,0.000370
10,3,100,0.000738
10,5,80,0.001423
10,7,25,0.002291
10,10,3,0.003045
10,15,0,0.004542
10,50,0,0.013031
10,100,0,0.025270

20,1,100,0.000887
20,3,100,0.002121
20,4,91,0.004530
20,5,52,0.008532
20,6,16,0.010919
20,7,1,0.012026
20,10,0,0.013255
20,50,0,0.037678
20,100,0,0.06807

50,1,100,0.003080
50,3,100,0.013165
50,4,92,0.144503
50,5,9,0.4042
50,6,0,0.296096
50,7,0,0.3078
50,50,0,0.188
50,100,0,0.3066

200,1,100,0.031596
200,2,100,0.066928
200,2.5,100,0.126293
200,3,100,6.1

1000,1,100,0.7
1000,2,100,1.85
1000,2.5,100,2.65
